"SSS","SST","pH","spCO2_uatm","OmAr","Year","Site","Scenario"
36.6903530756632,26.4807980855306,8.05258750915527,402.459842108803,3.84667225591773,2015,"Dry_tortugas","SSP2_4.5"
36.6880165735881,26.6165614128113,8.05115898450216,404.414197335941,3.85844370855669,2016,"Dry_tortugas","SSP2_4.5"
36.6824528376261,26.6791000366211,8.04842480023702,408.058434823072,3.85271126916624,2017,"Dry_tortugas","SSP2_4.5"
36.6776304244995,26.6269578933716,8.04618136088053,410.355429326868,3.8271669955073,2018,"Dry_tortugas","SSP2_4.5"
36.6969861984253,26.7574445406596,8.04455916086833,413.160732243691,3.84366891532806,2019,"Dry_tortugas","SSP2_4.5"
36.7152945200602,26.7588656743368,8.04253395398458,415.38114670249,3.8297917045118,2020,"Dry_tortugas","SSP2_4.5"
36.7233645121256,26.7551914850871,8.03883973757426,418.875135978007,3.79686284872313,2021,"Dry_tortugas","SSP2_4.5"
36.7443466186523,26.7182472546895,8.0375432173411,420.370373312729,3.78405048166463,2022,"Dry_tortugas","SSP2_4.5"
36.7179791132609,26.8419027328491,8.03424501419067,424.914383436783,3.78228808866651,2023,"Dry_tortugas","SSP2_4.5"
36.7562570571899,26.889010588328,8.03167541821798,428.105609731475,3.77453866559466,2024,"Dry_tortugas","SSP2_4.5"
36.771320660909,26.891440709432,8.02961099147797,429.980476199008,3.75644137695523,2025,"Dry_tortugas","SSP2_4.5"
36.6776860555013,26.9078704516093,8.02779750029246,432.12379244778,3.74024946742829,2026,"Dry_tortugas","SSP2_4.5"
36.7000684738159,26.9880429903666,8.0263595978419,435.131175768437,3.75349526872379,2027,"Dry_tortugas","SSP2_4.5"
36.7615823745728,26.9600850741069,8.02292462189992,439.909633997436,3.73518000786523,2028,"Dry_tortugas","SSP2_4.5"
36.767141977946,26.9300382932027,8.02127742767334,441.77695372034,3.71904306120927,2029,"Dry_tortugas","SSP2_4.5"
36.7605832417806,27.04230372111,8.01805047194163,445.735420533638,3.71143403369645,2030,"Dry_tortugas","SSP2_4.5"
36.7942091623942,27.094996770223,8.01662731170654,447.480015092526,3.71059663679435,2031,"Dry_tortugas","SSP2_4.5"
36.8051360448202,27.1016302108765,8.01353951295217,451.522252651667,3.69277611299239,2032,"Dry_tortugas","SSP2_4.5"
36.8206310272217,27.0976152420044,8.01088988780975,453.792661894518,3.66672634381838,2033,"Dry_tortugas","SSP2_4.5"
36.8390598297119,27.0936376253764,8.00875143210093,458.429613929076,3.66846326375921,2034,"Dry_tortugas","SSP2_4.5"
36.8543663024902,27.1649669011434,8.00567897160848,461.766618877532,3.6534213199027,2035,"Dry_tortugas","SSP2_4.5"
36.8018906911214,27.1815498669942,8.00409905115763,464.208238090239,3.64518717571671,2036,"Dry_tortugas","SSP2_4.5"
36.7969621022542,27.1632699966431,8.00230300426483,466.593644558532,3.63108316760591,2037,"Dry_tortugas","SSP2_4.5"
36.8439346949259,27.1263864835103,7.99957625071208,470.616398547703,3.61467263325849,2038,"Dry_tortugas","SSP2_4.5"
36.8196496963501,27.2266167004903,7.99706546465556,473.383643498335,3.60557962478112,2039,"Dry_tortugas","SSP2_4.5"
36.8741906483968,27.237446308136,7.99461189905802,477.366457609477,3.59960559816368,2040,"Dry_tortugas","SSP2_4.5"
36.8809229532878,27.2148480415344,7.99161569277446,480.108261701759,3.56818071771893,2041,"Dry_tortugas","SSP2_4.5"
36.8713846206665,27.2300340334574,7.99036665757497,481.814969956459,3.56170992397333,2042,"Dry_tortugas","SSP2_4.5"
36.8848009109497,27.3371836344401,7.98762277762095,486.07190503575,3.56240457973018,2043,"Dry_tortugas","SSP2_4.5"
36.8937136332194,27.3458026250203,7.98579406738281,489.021924840467,3.55556812046713,2044,"Dry_tortugas","SSP2_4.5"
36.9025440216064,27.2986133893331,7.98324231306712,492.414853241931,3.53296172590523,2045,"Dry_tortugas","SSP2_4.5"
36.9011958440145,27.3115288416545,7.98064780235291,496.251615310583,3.51974581877645,2046,"Dry_tortugas","SSP2_4.5"
36.9466988245646,27.3823417027791,7.97850088278453,499.37972107916,3.5185027689612,2047,"Dry_tortugas","SSP2_4.5"
36.9261468251546,27.4598468144735,7.97760812441508,501.197316227308,3.52540156638619,2048,"Dry_tortugas","SSP2_4.5"
36.9521462122599,27.4127677281698,7.97409053643544,505.260801642349,3.49245394062535,2049,"Dry_tortugas","SSP2_4.5"
36.9384126663208,27.5417210261027,7.97203965981801,508.186372422776,3.4949357544673,2050,"Dry_tortugas","SSP2_4.5"
36.9559981028239,27.5767437616984,7.96937334537506,511.666059758191,3.48124175052128,2051,"Dry_tortugas","SSP2_4.5"
36.9733257293701,27.5600468317668,7.96795531113942,514.155639247377,3.47429489611646,2052,"Dry_tortugas","SSP2_4.5"
36.9672686258952,27.5342086156209,7.9656644264857,517.494309938011,3.45663749720514,2053,"Dry_tortugas","SSP2_4.5"
36.972110748291,27.5741742451986,7.96399426460266,520.873867828853,3.45774606872297,2054,"Dry_tortugas","SSP2_4.5"
37.0031760533651,27.5894368489583,7.96176481246948,524.189294299825,3.44778104662557,2055,"Dry_tortugas","SSP2_4.5"
37.0479358037313,27.5692907969157,7.95995791753133,527.47541435691,3.44059965189841,2056,"Dry_tortugas","SSP2_4.5"
37.035039583842,27.676517645518,7.95781203111013,530.294640913481,3.43740659361141,2057,"Dry_tortugas","SSP2_4.5"
37.0117661158244,27.6062108675639,7.95790859063466,531.8579229034,3.43916910288657,2058,"Dry_tortugas","SSP2_4.5"
