"Taxon","Site","Rugosity","Planar","valuecm2","Transect","year","Code","genus","morphology","class","kg_m2_yr"
"Cliona aprica","Flower_Banks",1.56,9.76,223,3,2022,"BSP","BioSponge",NA,"BBS",-3.76
"Cliona aprica","Flower_Banks",1.66,9.13,4,4,2022,"BSP","BioSponge",NA,"BBS",-3.76
"Cliona aprica","Flower_Banks",1.56,9.72,404,5,2022,"BSP","BioSponge",NA,"BBS",-3.76
"Cliona aprica","Flower_Banks",1.5,10.15,68,6,2022,"BSP","BioSponge",NA,"BBS",-3.76
"Cliona aprica","Flower_Banks",1.49,10.16,20,1,2022,"BSP","BioSponge",NA,"BBS",-3.76
"Cliona aprica","Flower_Banks",1.47,10.33,640,2,2022,"BSP","BioSponge",NA,"BBS",-3.76
"Cliona caribbaea","St_Croix",1.34,10.07,3450,1,2022,"BSP","BioSponge",NA,"BBS",-4.67
"Cliona caribbaea","St_Croix",1.32,10.23,1900,3,2022,"BSP","BioSponge",NA,"BBS",-4.67
"Cliona delitrix","Cheeca_Rocks",1.69,9,579,4,2022,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona delitrix","St_Croix",1.34,10.07,20,1,2022,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona varians","Cheeca_Rocks",1.71,9,75,3,2022,"BSP","BioSponge",NA,"BBS",-4.23
"Cliona varians","Cheeca_Rocks",1.64,9.3,43,2,2022,"BSP","BioSponge",NA,"BBS",-4.23
"Siphonodictyon brevitubulatum","Cheeca_Rocks",1.69,9,24,4,2022,"BSP","BioSponge",NA,"BBS",-5.33
"Siphonodictyon brevitubulatum","Flower_Banks",1.49,10.16,400,1,2022,"BSP","BioSponge",NA,"BBS",-5.33
"Siphonodictyon brevitubulatum","Flower_Banks",1.47,10.33,349,2,2022,"BSP","BioSponge",NA,"BBS",-5.33
"Siphonodictyon brevitubulatum","Flower_Banks",1.66,9.13,15,4,2022,"BSP","BioSponge",NA,"BBS",-5.33
"Siphonodictyon brevitubulatum","Flower_Banks",1.56,9.76,730,3,2022,"BSP","BioSponge",NA,"BBS",-5.33
"Siphonodictyon brevitubulatum","Flower_Banks",1.5,10.15,351,6,2022,"BSP","BioSponge",NA,"BBS",-5.33
"Siphonodictyon brevitubulatum","Flower_Banks",1.56,9.72,100,5,2022,"BSP","BioSponge",NA,"BBS",-5.33
"Suberea flavolivescens","Cheeca_Rocks",1.69,9,10,4,2022,"BSP","BioSponge",NA,"BBS",-1.72
"Suberea flavolivescens","Flower_Banks",1.47,10.33,66,2,2022,"BSP","BioSponge",NA,"BBS",-1.72
