"Taxon","Site","Rugosity","Planar","valuecm2","Transect","year","Code","genus","morphology","class","kg_m2_yr"
"Cliona delitrix","St_Thomas",1.44,10.45,120,2,2017,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona delitrix","St_Thomas",1.4,10.85,10,3,2017,"BSP","BioSponge",NA,"BBS",-10.48
"Siphonodictyon brevitubulatum","St_Thomas",1.5,10.15,20,4,2017,"BSP","BioSponge",NA,"BBS",-5.33
