"Taxon","Site","Rugosity","Planar","valuecm2","Transect","year","Code","genus","morphology","class","kg_m2_yr"
"Cliona delitrix","Puerto_Rico",1.35,10.07,300,1,2023,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona delitrix","Puerto_Rico",1.41,10.63,100,2,2023,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona delitrix","Puerto_Rico",1.25,8.87,100,3,2023,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona delitrix","Puerto_Rico",1.38,9.68,100,4,2023,"BSP","BioSponge",NA,"BBS",-10.48
"Siphonodictyon brevitubulatum","Puerto_Rico",1.3,9.87,500,6,2023,"BSP","BioSponge",NA,"BBS",-5.33
